GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME,year
Bahrain,21 Apr 2013,Sebastian Vettel,RED BULL RACING RENAULT,57,1:36:00.498,2013
Spain,12 May 2013,Fernando Alonso,FERRARI,66,1:39:16.596,2013
Monaco,26 May 2013,Nico Rosberg,MERCEDES,78,2:17:52.056,2013
Canada,09 Jun 2013,Sebastian Vettel,RED BULL RACING RENAULT,70,1:32:09.143,2013
Great Britain,30 Jun 2013,Nico Rosberg,MERCEDES,52,1:32:59.456,2013
Germany,07 Jul 2013,Sebastian Vettel,RED BULL RACING RENAULT,60,1:41:14.711,2013
Hungary,28 Jul 2013,Lewis Hamilton,MERCEDES,70,1:42:29.445,2013
Belgium,25 Aug 2013,Sebastian Vettel,RED BULL RACING RENAULT,44,1:23:42.196,2013
Italy,08 Sep 2013,Sebastian Vettel,RED BULL RACING RENAULT,53,1:18:33.352,2013
Singapore,22 Sep 2013,Sebastian Vettel,RED BULL RACING RENAULT,61,1:59:13.132,2013
South Korea,06 Oct 2013,Sebastian Vettel,RED BULL RACING RENAULT,55,1:43:13.701,2013
Japan,13 Oct 2013,Sebastian Vettel,RED BULL RACING RENAULT,53,1:26:49.301,2013
India,27 Oct 2013,Sebastian Vettel,RED BULL RACING RENAULT,60,1:31:12.187,2013
Abu Dhabi,03 Nov 2013,Sebastian Vettel,RED BULL RACING RENAULT,55,1:38:06.106,2013
United States,17 Nov 2013,Sebastian Vettel,RED BULL RACING RENAULT,56,1:39:17.148,2013
Brazil,24 Nov 2013,Sebastian Vettel,RED BULL RACING RENAULT,71,1:32:36.300,2013
Australia,16 Mar 2014,Nico Rosberg,MERCEDES,57,1:32:58.710,2014
Malaysia,30 Mar 2014,Lewis Hamilton,MERCEDES,56,1:40:25.974,2014
Bahrain,06 Apr 2014,Lewis Hamilton,MERCEDES,57,1:39:42.743,2014
China,20 Apr 2014,Lewis Hamilton,MERCEDES,54,1:33:28.338,2014
Spain,11 May 2014,Lewis Hamilton,MERCEDES,66,1:41:05.155,2014
Monaco,25 May 2014,Nico Rosberg,MERCEDES,78,1:49:27.661,2014
Canada,08 Jun 2014,Daniel Ricciardo,RED BULL RACING RENAULT,70,1:39:12.830,2014
Austria,22 Jun 2014,Nico Rosberg,MERCEDES,71,1:27:54.976,2014
Great Britain,06 Jul 2014,Lewis Hamilton,MERCEDES,52,2:26:52.094,2014
